Geo Point;Geo Shape;gid;num_materiel;type;insee;sens_orientation;orientation;tmjo_tv;tmjo_vl;tmjo_pl;hpm_tv;hps_tv;v85_vl;v85_pl;annee;semaine;orientation_av_2021;cdate;mdate
44.8850659, -0.589669;"{""coordinates"": [-0.589669, 44.8850659], ""type"": ""Point""}";4162;;COMPTAGE_ROUTIER;33075;2;OUEST;5190;5048;142;502;580;57.5;49.4;2022;du lundi 14/11/2022 au dimanche 20/11/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8270849, -0.5832549;"{""coordinates"": [-0.5832549, 44.8270849], ""type"": ""Point""}";5380;16b025;COMPTAGE_ROUTIER;33063;2;SUD_OUEST;217;217;0;31;22;21.9;;2023;comptage du 14/11/2023 au 20/11/2023;;2024-02-13T13:19:57+01:00;2024-02-14T15:12:17+01:00
44.8285559, -0.5742069;"{""coordinates"": [-0.5742069, 44.8285559], ""type"": ""Point""}";5382;BC0037;COMPTAGE_ROUTIER;33063;1;NORD_EST;3067;3005;62;276;197;30.0;24.8;2023;comptage du 18/01/2023 au 24/01/2023;;2024-02-13T13:19:57+01:00;2024-02-14T15:12:17+01:00
44.8227389, -0.5958069;"{""coordinates"": [-0.5958069, 44.8227389], ""type"": ""Point""}";5393;16b024;COMPTAGE_ROUTIER;33063;2;SUD_OUEST;123;123;0;7;13;26.5;;2023;comptage du 15/03/2023 au 21/03/2023;;2024-02-13T13:19:57+01:00;2024-02-14T15:12:17+01:00
44.8158089, -0.575179;"{""coordinates"": [-0.575179, 44.8158089], ""type"": ""Point""}";5398;17B067;COMPTAGE_ROUTIER;33063;1;SUD_EST;3423;3422;1;300;365;38.9;27.5;2023;comptage du 22/11/2023 au 28/11/2023;;2024-02-13T13:19:57+01:00;2024-02-14T15:12:17+01:00
44.8661079, -0.5535189;"{""coordinates"": [-0.5535189, 44.8661079], ""type"": ""Point""}";5402;16B095;COMPTAGE_ROUTIER;33063;2;SUD_EST;2077;2066;11;228;151;32.4;27.9;2023;comptage du 20/01/2023 au 26/01/2023;;2024-02-13T13:19:57+01:00;2024-02-14T15:12:17+01:00
44.8775829, -0.5491519;"{""coordinates"": [-0.5491519, 44.8775829], ""type"": ""Point""}";5403;BC0030;COMPTAGE_ROUTIER;33063;1;NORD_EST;423;423;1;26;32;31.7;34.0;2023;comptage du 14/09/2023 au 20/09/2023;;2024-02-13T13:19:57+01:00;2024-03-26T07:47:09+01:00
44.8776229, -0.549192;"{""coordinates"": [-0.549192, 44.8776229], ""type"": ""Point""}";5404;BC0030;COMPTAGE_ROUTIER;33063;2;SUD_OUEST;439;439;1;23;43;31.2;25.5;2023;comptage du 14/09/2023 au 20/09/2023;;2024-02-13T13:19:57+01:00;2024-02-14T15:12:17+01:00
44.8293409, -0.580758;"{""coordinates"": [-0.580758, 44.8293409], ""type"": ""Point""}";5409;17B078;COMPTAGE_ROUTIER;33063;2;SUD_EST;3192;3187;5;221;391;35.3;31.3;2023;comptage du 24/04/2023 au 30/04/2023;;2024-02-13T13:19:57+01:00;2024-02-14T15:12:17+01:00
44.8289559, -0.585167;"{""coordinates"": [-0.585167, 44.8289559], ""type"": ""Point""}";5412;17B070;COMPTAGE_ROUTIER;33063;1;NORD_EST;825;825;1;102;63;30.1;35.5;2023;comptage du 18/01/2023 au 24/01/2023;;2024-02-13T13:19:57+01:00;2024-02-14T15:12:17+01:00
44.8172059, -0.503588;"{""coordinates"": [-0.503588, 44.8172059], ""type"": ""Point""}";4701;BC0122;COMPTAGE_ROUTIER;33065;2;SUD;2483;2415;68;308;213;44.9;36.8;2023;compatge du 03/10/2023 au 09/10/2023;;2024-02-13T11:26:12+01:00;2024-02-14T15:12:17+01:00
44.8107589, -0.507449;"{""coordinates"": [-0.507449, 44.8107589], ""type"": ""Point""}";4708;BC0030;COMPTAGE_ROUTIER;33065;1;EST;492;490;2;18;79;44.6;32.5;2023;compatge du 05/10/2023 au 11/10/2023;;2024-02-13T11:26:12+01:00;2024-02-14T15:12:17+01:00
44.7648089, -0.553703;"{""coordinates"": [-0.553703, 44.7648089], ""type"": ""Point""}";4327;;COMPTAGE_ROUTIER;33550;1;NORD;4622;4511;111;376;495;53.5;47.5;2022;du lundi 20/06/2022 au dimanche 26/06/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.7648089, -0.553743;"{""coordinates"": [-0.553743, 44.7648089], ""type"": ""Point""}";4328;;COMPTAGE_ROUTIER;33550;2;SUD;4121;3998;123;304;367;47.3;38.3;2022;du lundi 20/06/2022 au dimanche 26/06/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.7662739, -0.550616;"{""coordinates"": [-0.550616, 44.7662739], ""type"": ""Point""}";4330;;COMPTAGE_ROUTIER;33550;2;SUD;4025;3901;123;303;366;53.3;44.2;2022;du lundi 20/06/2022 au dimanche 26/06/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.7779599, -0.560698;"{""coordinates"": [-0.560698, 44.7779599], ""type"": ""Point""}";4331;;COMPTAGE_ROUTIER;33550;1;EST;908;895;13;47;106;58.2;48.6;2022;du mardi 21/06/2022 au lundi 27/06/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8662409, -0.5832189;"{""coordinates"": [-0.5832189, 44.8662409], ""type"": ""Point""}";3955;;COMPTAGE_ROUTIER;33069;2;OUEST;75;75;0;6;6;34.2;;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8662009, -0.5832189;"{""coordinates"": [-0.5832189, 44.8662009], ""type"": ""Point""}";3956;;COMPTAGE_ROUTIER;33069;1;EST;919;918;1;113;65;25.2;17.0;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
