Geo Point;Geo Shape;gid;num_materiel;type;insee;sens_orientation;orientation;tmjo_tv;tmjo_vl;tmjo_pl;hpm_tv;hps_tv;v85_vl;v85_pl;annee;semaine;orientation_av_2021;cdate;mdate
44.8264219, -0.5321659;"{""coordinates"": [-0.5321659, 44.8264219], ""type"": ""Point""}";210;;COMPTAGE_ROUTIER;33167;;;141;140;1;11;12;26.7;26.7;2015;comptage du 26/01/2015 au 01/02/2015;Sens unique vers la rue des Steamers;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8267569, -0.5335909;"{""coordinates"": [-0.5335909, 44.8267569], ""type"": ""Point""}";212;;COMPTAGE_ROUTIER;33167;;;1649;1586;63;11;160;49.9;47.9;2015;comptage du 26/01/2015 au 01/02/2015;Vers la rue Monte Cristo;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8708969, -0.4964099;"{""coordinates"": [-0.4964099, 44.8708969], ""type"": ""Point""}";665;;COMPTAGE_ROUTIER;33013;;;629;596;33;43;65;49.0;42.0;2016;comptage du 20/05/2016 au 26/05/2016;Vers la rue des Chevreuils;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8397349, -0.506203;"{""coordinates"": [-0.506203, 44.8397349], ""type"": ""Point""}";668;;COMPTAGE_ROUTIER;33167;;;788;775;13;74;43;47.0;44.0;2016;comptage du 11/03/2016 au 17/03/2016;Vers la rue Nelson Paillou;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8397349, -0.506203;"{""coordinates"": [-0.506203, 44.8397349], ""type"": ""Point""}";669;;COMPTAGE_ROUTIER;33167;;;725;712;13;44;78;47.0;44.0;2016;comptage du 11/03/2016 au 17/03/2016;Vers la rue Jean Bouin;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8506879, -0.6793949;"{""coordinates"": [-0.6793949, 44.8506879], ""type"": ""Point""}";670;;COMPTAGE_ROUTIER;33281;;;510;495;15;21;63;54.0;46.0;2016;comptage du 21/06/2016 au 27/06/2016;Vers l'avenue de la Grange Noire;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8607769, -0.5681849;"{""coordinates"": [-0.5681849, 44.8607769], ""type"": ""Point""}";672;;COMPTAGE_ROUTIER;33063;;;9810;9385;425;630;660;45.5;41.0;2016;comptage du 18/06/2016 au 24/06/2016;Vers le cours du Médoc;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8479729, -0.7572149;"{""coordinates"": [-0.7572149, 44.8479729], ""type"": ""Point""}";679;;COMPTAGE_ROUTIER;33273;;;205;176;29;11;16;43.0;35.0;2016;comptage du 13/01/2016 au 19/01/2016;Vers l'allée Daniel Begu;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.9813199, -0.489132;"{""coordinates"": [-0.489132, 44.9813199], ""type"": ""Point""}";680;;COMPTAGE_ROUTIER;33487;;;36;35;1;4;5;54.0;;2016;comptage du 11/02/2016 au 17/02/2016;Vers l'avenue Armand Beraud (RD 10);2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8951919, -0.5012719;"{""coordinates"": [-0.5012719, 44.8951919], ""type"": ""Point""}";682;;COMPTAGE_ROUTIER;33096;;;950;939;11;73;73;25.0;;2016;comptage du 29/02/2016 au 06/03/2016;Vers l'allée de l'entre Deux Mers;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8942829, -0.766652;"{""coordinates"": [-0.766652, 44.8942829], ""type"": ""Point""}";687;;COMPTAGE_ROUTIER;33449;;;5092;4859;233;408;580;60.7;58.2;2016;comptage du 25/04/2016 au 01/05/2016;Vers l'allée Pargaud;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8939699, -0.7485259;"{""coordinates"": [-0.7485259, 44.8939699], ""type"": ""Point""}";692;;COMPTAGE_ROUTIER;33449;;;4477;4337;140;411;502;59.1;56.4;2016;comptage du 25/04/2016 au 01/05/2016;Vers la rue Charles Gounod;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8819619, -0.689351;"{""coordinates"": [-0.689351, 44.8819619], ""type"": ""Point""}";696;;COMPTAGE_ROUTIER;33449;;;2866;2756;110;293;248;59.6;59.0;2016;comptage du 24/05/2016 au 30/05/2016;Vers l'avenue de Berlincan;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8815029, -0.695366;"{""coordinates"": [-0.695366, 44.8815029], ""type"": ""Point""}";699;;COMPTAGE_ROUTIER;33449;;;3538;3434;104;211;388;58.9;56.8;2016;comptage du 24/05/2016 au 30/05/2016;Vers la rue Georges Braque;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8631619, -0.709837;"{""coordinates"": [-0.709837, 44.8631619], ""type"": ""Point""}";703;;COMPTAGE_ROUTIER;33449;;;3384;3197;187;170;567;66.5;58.2;2016;comptage du 17/06/2016 au 23/06/2016;Vers la rue Cassiopée;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8636329, -0.709306;"{""coordinates"": [-0.709306, 44.8636329], ""type"": ""Point""}";704;;COMPTAGE_ROUTIER;33449;;;768;719;49;103;66;38.3;36.8;2016;comptage du 17/06/2016 au 23/06/2016;Vers la ZA;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.7681599, -0.581715;"{""coordinates"": [-0.581715, 44.7681599], ""type"": ""Point""}";707;;COMPTAGE_ROUTIER;33550;;;325;317;8;28;36;47.2;47.6;2016;comptage du 23/05/2016 au 29/03/2016;Vers la route de Léognan;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.7573449, -0.5859869;"{""coordinates"": [-0.5859869, 44.7573449], ""type"": ""Point""}";714;;COMPTAGE_ROUTIER;33550;;;1308;1280;28;59;242;55.3;53.2;2016;comptage du 31/05/2016 au 06/06/2016;Vers la route de Léognan;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8108379, -0.507337;"{""coordinates"": [-0.507337, 44.8108379], ""type"": ""Point""}";718;;COMPTAGE_ROUTIER;33065;;;430;424;6;72;29;55.8;53.4;2016;comptage du 01/09/2016 au 07/09/2016;Vers l'allée des Aubiers;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8034779, -0.510825;"{""coordinates"": [-0.510825, 44.8034779], ""type"": ""Point""}";721;;COMPTAGE_ROUTIER;33065;;;2224;2158;66;90;387;55.3;53.3;2016;comptage du 01/09/2016 au 07/09/2016;Vers le chemin du Souquet;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8780289, -0.54475;"{""coordinates"": [-0.54475, 44.8780289], ""type"": ""Point""}";722;;COMPTAGE_ROUTIER;33063;;;183;178;5;10;20;37.1;35.6;2016;comptage du 10/05/2016 au 16/05/2016;Vers la rue Françis Jammes;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8540769, -0.597643;"{""coordinates"": [-0.597643, 44.8540769], ""type"": ""Point""}";726;;COMPTAGE_ROUTIER;33063;;;5798;5594;204;347;495;42.2;38.9;2016;comptage du 10/03/2016 au 16/03/2016;Sens unique vers l'avenue du Général Leclerc;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8211399, -0.603937;"{""coordinates"": [-0.603937, 44.8211399], ""type"": ""Point""}";729;;COMPTAGE_ROUTIER;33063;;;435;427;8;55;65;38.4;28.0;2016;comptage du 03/10/2016 au 09/10/2016;;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8207139, -0.6048219;"{""coordinates"": [-0.6048219, 44.8207139], ""type"": ""Point""}";730;;COMPTAGE_ROUTIER;33063;;;32;27;5;3;5;34.1;33.7;2016;comptage du 03/10/2016 au 09/10/2016;Vers la rue du haut Brion;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8203579, -0.6055379;"{""coordinates"": [-0.6055379, 44.8203579], ""type"": ""Point""}";734;;COMPTAGE_ROUTIER;33063;;;752;724;28;101;131;35.9;27.4;2016;comptage du 03/10/2016 au 09/10/2016;;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8192519, -0.6034359;"{""coordinates"": [-0.6034359, 44.8192519], ""type"": ""Point""}";735;;COMPTAGE_ROUTIER;33063;;;670;653;17;155;54;43.6;38.1;2016;comptage du 03/10/2016 au 09/10/2016;;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8857329, -0.62806;"{""coordinates"": [-0.62806, 44.8857329], ""type"": ""Point""}";493;;COMPTAGE_ROUTIER;33162;;;2365;2218;147;483;268;44.5;42.4;2016;comptage du 20/01/2016 au 26/01/2016;Vers la rue du Cap Haut;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8857249, -0.628019;"{""coordinates"": [-0.628019, 44.8857249], ""type"": ""Point""}";494;;COMPTAGE_ROUTIER;33162;;;1319;1228;91;112;182;45.2;43.3;2016;comptage du 20/01/2016 au 26/01/2016;Vers l'allée du Fourrat;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8841099, -0.6294629;"{""coordinates"": [-0.6294629, 44.8841099], ""type"": ""Point""}";495;;COMPTAGE_ROUTIER;33162;;;1966;1913;53;191;254;44.6;44.6;2016;comptage du 20/01/2016 au 26/01/2016;Vers la rue du Cap Haut;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8841269, -0.62949;"{""coordinates"": [-0.62949, 44.8841269], ""type"": ""Point""}";496;;COMPTAGE_ROUTIER;33162;;;858;828;30;109;85;42.4;40.9;2016;comptage du 20/01/2016 au 26/01/2016;Vers la rue Gaston Saux;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8854849, -0.6316999;"{""coordinates"": [-0.6316999, 44.8854849], ""type"": ""Point""}";497;;COMPTAGE_ROUTIER;33162;;;380;372;8;49;46;48.3;46.7;2016;comptage du 20/01/2016 au 26/01/2016;Sens unique vers la rue des Sables;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8845419, -0.6325809;"{""coordinates"": [-0.6325809, 44.8845419], ""type"": ""Point""}";501;;COMPTAGE_ROUTIER;33162;;;396;392;4;29;40;56.5;54.3;2016;comptage du 20/01/2016 au 26/01/2016;Vers la rue du Cap Haut;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8836839, -0.6315309;"{""coordinates"": [-0.6315309, 44.8836839], ""type"": ""Point""}";502;;COMPTAGE_ROUTIER;33162;;;253;247;6;38;25;37.5;36.6;2016;comptage du 20/01/2016 au 26/01/2016;Vers la rue Albert Mourgues;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8836899, -0.631555;"{""coordinates"": [-0.631555, 44.8836899], ""type"": ""Point""}";503;;COMPTAGE_ROUTIER;33162;;;366;359;7;96;47;38.6;39.1;2016;comptage du 20/01/2016 au 26/01/2016;Vers l'avenue du Médoc;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8724779, -0.5970239;"{""coordinates"": [-0.5970239, 44.8724779], ""type"": ""Point""}";511;;COMPTAGE_ROUTIER;33069;;;68;67;1;9;5;28.0;53.0;2016;comptage du 02/03/2016 au 08/03/2016;Vers la rue Lanet;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8315409, -0.5364489;"{""coordinates"": [-0.5364489, 44.8315409], ""type"": ""Point""}";512;;COMPTAGE_ROUTIER;33167;;;1702;1627;75;140;117;49.0;47.0;2016;comptage du 11/03/2016 au 17/03/2016;Vers la rue Georges Litalien;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.9929459, -0.486606;"{""coordinates"": [-0.486606, 44.9929459], ""type"": ""Point""}";515;;COMPTAGE_ROUTIER;33487;;;1101;1080;21;56;113;86.0;68.0;2016;comptage du 11/02/2016 au 17/02/2016;;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8752499, -0.553967;"{""coordinates"": [-0.553967, 44.8752499], ""type"": ""Point""}";516;;COMPTAGE_ROUTIER;33063;;;3773;3530;243;247;281;40.0;36.0;2016;comptage du 01/07/2016 au 07/07/2016;Vers la rue Charles Martin;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.7925639, -0.568975;"{""coordinates"": [-0.568975, 44.7925639], ""type"": ""Point""}";521;;COMPTAGE_ROUTIER;33550;;;165;161;4;15;19;46.7;44.5;2016;comptage du 14/03/2016 au 20/03/2016;Vers la rue Elie Lourmet;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8512679, -0.495172;"{""coordinates"": [-0.495172, 44.8512679], ""type"": ""Point""}";525;;COMPTAGE_ROUTIER;33013;;;1808;1695;113;114;125;36.0;30.0;2016;comptage du 30/03/2016 au 05/04/2016;Vers l'avenue Virecourt;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8513459, -0.4918809;"{""coordinates"": [-0.4918809, 44.8513459], ""type"": ""Point""}";527;;COMPTAGE_ROUTIER;33013;;;417;385;32;36;29;36.0;29.0;2016;comptage du 31/03/2016 au 06/04/2016;Vers l'avenue du l'Eglise Romane;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8513519, -0.4918629;"{""coordinates"": [-0.4918629, 44.8513519], ""type"": ""Point""}";529;;COMPTAGE_ROUTIER;33013;;;370;347;23;38;25;39.0;33.0;2016;comptage du 31/03/2016 au 06/04/2016;Vers l'avenue du l'Eglise Romane;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8702219, -0.6057579;"{""coordinates"": [-0.6057579, 44.8702219], ""type"": ""Point""}";532;;COMPTAGE_ROUTIER;33069;;;4040;3970;70;222;346;45.0;44.0;2016;comptage du 11/05/2016 au 17/05/2016;Vers l'avenue Léon Blum;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8695099, -0.6054099;"{""coordinates"": [-0.6054099, 44.8695099], ""type"": ""Point""}";536;;COMPTAGE_ROUTIER;33069;;;3712;3626;86;429;313;48.9;49.0;2016;comptage du 01/09/2016 au 07/09/2016;Vers 8 Mai 1945;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.9234969, -0.6173949;"{""coordinates"": [-0.6173949, 44.9234969], ""type"": ""Point""}";540;;COMPTAGE_ROUTIER;33056;;;2050;1673;377;138;188;63.5;55.1;2016;comptage du 07/06/2016 au 13/06/2016;Vers la rue de Fleurenne;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.9234859, -0.617397;"{""coordinates"": [-0.617397, 44.9234859], ""type"": ""Point""}";541;;COMPTAGE_ROUTIER;33056;;;2040;1699;341;276;133;66.4;56.7;2016;comptage du 07/06/2016 au 13/06/2016;Vers la rue Gustave Eiffel;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8226789, -0.5671809;"{""coordinates"": [-0.5671809, 44.8226789], ""type"": ""Point""}";549;;COMPTAGE_ROUTIER;33063;;;799;788;11;104;73;39.8;39.5;2016;comptage du 30/03/2016 au 05/04/2016;Sens unique vers la rue Malbec;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8212859, -0.568083;"{""coordinates"": [-0.568083, 44.8212859], ""type"": ""Point""}";550;;COMPTAGE_ROUTIER;33063;;;365;359;6;47;35;38.8;42.4;2016;comptage du 30/03/2016 au 05/04/2016;Sens unique vers la rue de Langon;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8316409, -0.665414;"{""coordinates"": [-0.665414, 44.8316409], ""type"": ""Point""}";553;;COMPTAGE_ROUTIER;33281;;;5568;5310;258;277;617;47.6;45.7;2016;comptage du 30/06/2016 au 06/07/2016;Vers l'avenue de la Somme;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.7822009, -0.5392019;"{""coordinates"": [-0.5392019, 44.7822009], ""type"": ""Point""}";556;;COMPTAGE_ROUTIER;33550;;;5254;4966;288;272;432;52.8;50.6;2016;comptage du 20/06/2016 au 26/06/2017;Vers le chemin Galgon;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8815419, -0.6078739;"{""coordinates"": [-0.6078739, 44.8815419], ""type"": ""Point""}";559;;COMPTAGE_ROUTIER;33075;;;3134;3006;128;248;288;49.4;48.3;2016;comptage du 22/06/2016 au 28/06/2016;Vers la rue Pierre Martin;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8802929, -0.669882;"{""coordinates"": [-0.669882, 44.8802929], ""type"": ""Point""}";566;;COMPTAGE_ROUTIER;33162;;;420;412;8;29;44;52.4;50.2;2016;comptage du 24/05/2016 au 30/05/2016;Vers l'allée de la Pillardière;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8947469, -0.7133619;"{""coordinates"": [-0.7133619, 44.8947469], ""type"": ""Point""}";570;;COMPTAGE_ROUTIER;33449;;;4577;4305;272;298;414;45.2;39.4;2016;comptage du 26/04/2016 au 03/05/2016;Vers la place de la République;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8946859, -0.7141019;"{""coordinates"": [-0.7141019, 44.8946859], ""type"": ""Point""}";572;;COMPTAGE_ROUTIER;33449;;;2756;2691;65;226;243;29.0;27.6;2016;comptage du 26/04/2016 au 03/05/2016;Sens unique vers l'avenue Montaigne;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8940879, -0.7152909;"{""coordinates"": [-0.7152909, 44.8940879], ""type"": ""Point""}";574;;COMPTAGE_ROUTIER;33449;;;2885;2826;59;231;253;41.0;40.6;2016;comptage du 26/04/2016 au 03/05/2016;Sens unique vers la rue Jean Duperrier;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8334429, -0.519146;"{""coordinates"": [-0.519146, 44.8334429], ""type"": ""Point""}";578;;COMPTAGE_ROUTIER;33167;;;714;667;47;75;51;51.8;45.0;2016;comptage du 08/09/2016 au 14/09/2016;Vers l'avenue François Mitterrand;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8280139, -0.518374;"{""coordinates"": [-0.518374, 44.8280139], ""type"": ""Point""}";581;;COMPTAGE_ROUTIER;33167;;;1302;1275;27;225;135;51.4;49.9;2016;comptage du 08/09/2016 au 14/09/2016;Vers l'avenue Gaston Cabanes;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8292949, -0.520102;"{""coordinates"": [-0.520102, 44.8292949], ""type"": ""Point""}";582;;COMPTAGE_ROUTIER;33167;;;337;295;42;22;32;44.1;38.5;2016;comptage du 20/06/2016 au 26/06/2016;Vers la rue Henri Brullé;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8362539, -0.5381989;"{""coordinates"": [-0.5381989, 44.8362539], ""type"": ""Point""}";585;;COMPTAGE_ROUTIER;33167;;;1644;1549;95;173;113;56.2;53.5;2016;comptage du 20/06/2016 au 26/06/2016;Vers la rue Emile Combes;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8721529, -0.519499;"{""coordinates"": [-0.519499, 44.8721529], ""type"": ""Point""}";587;;COMPTAGE_ROUTIER;33249;;;2268;2192;76;209;202;48.3;47.1;2016;comptage du 02/03/2016 au 08/03/2016;Vers l'avenue de la Libération;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8318209, -0.5747539;"{""coordinates"": [-0.5747539, 44.8318209], ""type"": ""Point""}";590;;COMPTAGE_ROUTIER;33063;;;1266;1174;92;173;93;36.1;33.9;2016;comptage du 03/02/2016 au 09/02/2016;Sens unique vers la rue Lalande;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8634589, -0.6395639;"{""coordinates"": [-0.6395639, 44.8634589], ""type"": ""Point""}";591;;COMPTAGE_ROUTIER;33162;;;6293;5075;1218;419;523;51.0;50.0;2016;comptage du 27/02/2016 au 04/03/2016;Vers la rue Marguerite Duras;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8980479, -0.567258;"{""coordinates"": [-0.567258, 44.8980479], ""type"": ""Point""}";596;;COMPTAGE_ROUTIER;33063;;;4796;4489;307;202;220;61.5;54.5;2016;comptage du 22/01/2016 au 28/01/2016;Vers le cours Charles Bricaud;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8640569, -0.607013;"{""coordinates"": [-0.607013, 44.8640569], ""type"": ""Point""}";597;;COMPTAGE_ROUTIER;33069;;;1697;1687;10;117;157;38.0;30.0;2016;comptage du 22/01/2016 au 28/01/2016;Vers la rue Raymond Lavigne;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8634389, -0.6067099;"{""coordinates"": [-0.6067099, 44.8634389], ""type"": ""Point""}";603;;COMPTAGE_ROUTIER;33069;;;1545;1534;11;135;131;47.0;37.0;2016;comptage du 22/01/2016 au 28/01/2016;Vers la rue Lamartine;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8890639, -0.6741899;"{""coordinates"": [-0.6741899, 44.8890639], ""type"": ""Point""}";608;;COMPTAGE_ROUTIER;33200;;;5147;4874;273;677;401;61.7;59.3;2016;comptage du 04/04/2016 au 10/04/2016;Vers la rue des Vignes de Bussac;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8795879, -0.680578;"{""coordinates"": [-0.680578, 44.8795879], ""type"": ""Point""}";611;;COMPTAGE_ROUTIER;33200;;;2441;2353;88;134;370;56.0;51.5;2016;comptage du 04/04/2016 au 10/04/2016;Vers la rue Colbert;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8795959, -0.6806149;"{""coordinates"": [-0.6806149, 44.8795959], ""type"": ""Point""}";612;;COMPTAGE_ROUTIER;33200;;;2349;2237;112;438;151;56.1;54.8;2016;comptage du 04/04/2016 au 10/04/2016;Vers l'avenue Pasteur;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8798479, -0.5131309;"{""coordinates"": [-0.5131309, 44.8798479], ""type"": ""Point""}";614;;COMPTAGE_ROUTIER;33249;;;7230;6994;236;379;550;53.0;48.0;2016;comptage du 15/06/2016 au 20/06/2016;Vers l'avenue de Paris;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8799299, -0.5131269;"{""coordinates"": [-0.5131269, 44.8799299], ""type"": ""Point""}";615;;COMPTAGE_ROUTIER;33249;;;6546;6292;254;426;453;56.0;50.0;2016;comptage du 15/06/2016 au 20/06/2016;Vers l'avenue de la Resistance;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8352999, -0.603025;"{""coordinates"": [-0.603025, 44.8352999], ""type"": ""Point""}";845;;COMPTAGE_ROUTIER;33063;;;2604;2475;129;324;222;48.3;46.1;2016;comptage du 30/03/2016 au 05/04/2016;Vers la rue Valentin Hauy;2023-12-15T17:00:23+01:00;2024-02-14T15:12:17+01:00
44.8954249, -0.7668509;"{""coordinates"": [-0.7668509, 44.8954249], ""type"": ""Point""}";847;;COMPTAGE_ROUTIER;33449;;;179;171;8;19;16;56.0;52.3;2016;comptage du 06/12/2016 au 12/12/2016;Vers l'avenue Blaise Pascal;2023-12-15T17:00:23+01:00;2024-02-14T15:12:17+01:00
44.8979259, -0.774535;"{""coordinates"": [-0.774535, 44.8979259], ""type"": ""Point""}";848;;COMPTAGE_ROUTIER;33449;;;64;62;2;8;9;49.6;48.7;2016;comptage du 06/12/2016 au 12/12/2016;Vers la rue Marconi;2023-12-15T17:00:23+01:00;2024-02-14T15:12:17+01:00
44.8470569, -0.596142;"{""coordinates"": [-0.596142, 44.8470569], ""type"": ""Point""}";851;;COMPTAGE_ROUTIER;33063;;;227;225;2;22;16;28.8;26.7;2016;comptage du 30/03/2016 au 05/04/2016;Vers le cours Marc Nouaux;2023-12-15T17:00:23+01:00;2024-02-14T15:12:17+01:00
44.8007089, -0.60794;"{""coordinates"": [-0.60794, 44.8007089], ""type"": ""Point""}";852;;COMPTAGE_ROUTIER;33522;;;7297;7192;105;591;468;48.0;46.0;2016;comptage du 06/07/2016 au 12/07/2016;Vers l'avenue des Facultés;2023-12-15T17:00:23+01:00;2024-02-14T15:12:17+01:00
44.8006169, -0.607897;"{""coordinates"": [-0.607897, 44.8006169], ""type"": ""Point""}";853;;COMPTAGE_ROUTIER;33522;;;7518;7388;130;383;536;51.0;49.0;2016;comptage du 06/07/2016 au 12/07/2016;Vers l'allée Pierre de Coubertin;2023-12-15T17:00:23+01:00;2024-02-14T15:12:17+01:00
44.8702239, -0.6078689;"{""coordinates"": [-0.6078689, 44.8702239], ""type"": ""Point""}";857;;COMPTAGE_ROUTIER;33069;;;560;554;6;30;55;34.0;50.0;2016;comptage du 11/05/2016 au 17/05/2016;Vers l'avenue de la Libération;2023-12-15T17:00:23+01:00;2024-02-14T15:12:17+01:00
44.7977369, -0.7106599;"{""coordinates"": [-0.7106599, 44.7977369], ""type"": ""Point""}";860;;COMPTAGE_ROUTIER;33318;;;1457;1448;9;153;108;70.0;57.0;2016;comptage du 23/01/2016 au 01/02/2016;Vers la rue de la Poudrière;2023-12-15T17:00:23+01:00;2024-02-14T15:12:17+01:00
44.9589989, -0.5257339;"{""coordinates"": [-0.5257339, 44.9589989], ""type"": ""Point""}";861;;COMPTAGE_ROUTIER;33434;;;458;399;59;28;33;84.0;65.0;2016;comptage du 21/06/2016 au 27/06/2016;Vers la RD113;2023-12-15T17:00:23+01:00;2024-02-14T15:12:17+01:00
44.8422189, -0.50802;"{""coordinates"": [-0.50802, 44.8422189], ""type"": ""Point""}";863;;COMPTAGE_ROUTIER;33167;;;427;413;14;86;35;30.0;29.0;2016;comptage du 15/06/2016 au 21/06/2016;Vers la rue Pierre Mendes France;2023-12-15T17:00:23+01:00;2024-02-14T15:12:17+01:00
44.8497079, -0.549121;"{""coordinates"": [-0.549121, 44.8497079], ""type"": ""Point""}";870;;COMPTAGE_ROUTIER;33063;;;760;589;171;44;69;61.1;59.5;2016;comptage du 12/04/2016 au 18/04/2016;Vers la rue Bouthier;2023-12-15T17:00:23+01:00;2024-02-14T15:12:17+01:00
44.8496999, -0.548972;"{""coordinates"": [-0.548972, 44.8496999], ""type"": ""Point""}";871;;COMPTAGE_ROUTIER;33063;;;1498;1273;225;155;120;67.3;62.7;2016;comptage du 12/04/2016 au 18/04/2016;Vers la rue du Commandant Cousteau;2023-12-15T17:00:23+01:00;2024-02-14T15:12:17+01:00
44.8805389, -0.5980349;"{""coordinates"": [-0.5980349, 44.8805389], ""type"": ""Point""}";874;;COMPTAGE_ROUTIER;33075;;;202;195;7;17;20;42.0;44.2;2016;comptage du 08/09/2016 au 14/09/2016;Vers la rue des Hirondelles;2023-12-15T17:00:23+01:00;2024-02-14T15:12:17+01:00
44.8881509, -0.612196;"{""coordinates"": [-0.612196, 44.8881509], ""type"": ""Point""}";876;;COMPTAGE_ROUTIER;33075;;;8383;8149;234;851;626;55.8;53.8;2016;comptage du 08/02/2016 au 14/02/2016;Vers la rocade A630;2023-12-15T17:00:23+01:00;2024-02-14T15:12:17+01:00
44.8880749, -0.6119709;"{""coordinates"": [-0.6119709, 44.8880749], ""type"": ""Point""}";877;;COMPTAGE_ROUTIER;33075;;;5833;5628;205;362;442;52.0;50.1;2016;comptage du 08/02/2016 au 14/02/2016;Vers l'avenue Charles de Gaulle;2023-12-15T17:00:23+01:00;2024-02-14T15:12:17+01:00
